cluster_ID,original_cluster_ID,files
ARC_01,cluster_0,AbstractLeafQueue.java; AppPriorityACLConfigurationParser.java; AppPriorityACLGroup.java; CSAMContainerLaunchDiagnosticsConstants.java; CSAssignment.java; CSMaxRunningAppsEnforcer.java; CapacityHeadroomProvider.java; CapacityScheduler.java; CapacitySchedulerConfiguration.java; CapacitySchedulerContext.java; CapacitySchedulerMetrics.java; CapacitySchedulerQueueContext.java; SchedulingMode.java; UserInfo.java; UsersManager.java; WorkflowPriorityMappingsManager.java; allocator/AbstractContainerAllocator.java; allocator/AllocationState.java; allocator/ContainerAllocation.java; allocator/ContainerAllocator.java; allocator/RegularContainerAllocator.java
ARC_02,cluster_1,AbsoluteResourceCapacityCalculator.java; AbstractQueueCapacityCalculator.java; CalculationContext.java; CapacitySchedulerQueueCapacityHandler.java; DefaultQueueResourceRoundingStrategy.java; PercentageQueueCapacityCalculator.java; QueueCapacityVector.java; QueueResourceRoundingStrategy.java; ResourceCalculationDriver.java; ResourceVector.java; RootCalculationDriver.java; RootQueueCapacityCalculator.java; WeightQueueCapacityCalculator.java; conf/QueueCapacityConfigParser.java
ARC_03,cluster_2,AbstractAutoCreatedLeafQueue.java; AbstractCSQueue.java; AbstractManagedParentQueue.java; AbstractParentQueue.java; AutoCreatedLeafQueue.java; AutoCreatedLeafQueueConfig.java; AutoCreatedQueueDeletionPolicy.java; AutoCreatedQueueManagementPolicy.java; AutoCreatedQueueTemplate.java; CSQueue.java; CSQueueInfoProvider.java; CSQueueMetrics.java; CSQueueStore.java; CSQueueUsageTracker.java; CapacitySchedulerConfigValidator.java; CapacitySchedulerQueueManager.java; LeafQueue.java; ManagedParentQueue.java; ParentQueue.java; PlanQueue.java; QueueAllocationSettings.java; QueueAppLifetimeAndLimitSettings.java; QueueConfigurationAutoRefreshPolicy.java; QueueManagementChange.java; QueueManagementDynamicEditPolicy.java; QueuePath.java; QueuePrefixes.java; QueueStateHelper.java; ReservationQueue.java; conf/ConfigurationUpdateAssembler.java; conf/MutableCSConfigurationProvider.java; conf/QueueAdminConfigurationMutationACLPolicy.java; policy/PriorityUtilizationQueueOrderingPolicy.java; policy/QueueOrderingPolicy.java; queuemanagement/GuaranteedOrZeroCapacityOverTimePolicy.java; queuemanagement/LeafQueueEntitlements.java
ARC_04,cluster_3,conf/CSConfigurationProvider.java; conf/FSSchedulerConfigurationStore.java; conf/FileBasedCSConfigurationProvider.java; conf/InMemoryConfigurationStore.java; conf/LeveldbConfigurationStore.java; conf/YarnConfigurationStore.java; conf/YarnConfigurationStoreFactory.java; conf/ZKConfigurationStore.java
ARC_05,cluster_4,placement/GeneratePojos.java; placement/MappingRuleCreator.java; placement/converter/LegacyMappingRuleToJson.java
ARC_06,cluster_5,ConfigurationProperties.java; UserWeights.java
ARC_07,cluster_6,CSQueuePreemptionSettings.java; preemption/KillableContainer.java; preemption/PreemptableQueue.java; preemption/PreemptionManager.java
ARC_08,cluster_7,conf/YarnConfStoreVersionIncompatibleException.java
ARC_09,cluster_8,QueueCapacityUpdateContext.java; QueueUpdateWarning.java
ARC_10,cluster_9,CSQueueUtils.java; ConfiguredNodeLabels.java; QueueCapacities.java; QueueNodeLabelsSettings.java; queuemanagement/DeactivatedLeafQueuesByLabel.java
